Player,2024 Salary
A'ja Wilson,"$227,303"
Arike Ogunbowale,"$241,984"
Kahleah Copper,"$241,984"
Breanna Stewart,"$205,000"
Napheesa Collier,"$215,469"
Jewell Loyd,"$241,984"
Caitlin Clark,"$76,535"
Kelsey Mitchell,"$212,000"
Sabrina Ionescu,"$202,000"
Satou Sabally,"$195,000"
Kelsey Plum,"$200,000"
Brittney Griner,"$150,000"
Natasha Howard,"$234,350"
Chennedy Carter,"$76,535"
Rhyne Howard,"$80,943"
Dearica Hamby,"$189,000"
Nneka Ogwumike,"$204,500"
Jackie Young,"$169,950"
Allisha Gray,"$185,000"
Skylar Diggins-Smith,"$208,219"
Kayla McBride,"$208,000"
DeWanna Bonner,"$209,593"
Diana Taurasi,"$234,936"
Ariel Atkins,"$200,000"
Tina Charles,"$130,000"
Marina Mabrey,"$217,592"
Jonquel Jones,"$190,000"
Aliyah Boston,"$75,792"
Brionna Jones,"$212,000"
Angel Reese,"$73,439"
Rickea Jackson,"$76,535"
DiJonai Carrington,"$78,469"
Odyssey Sims,"$13,072"
Odyssey Sims,"$15,912"
Odyssey Sims,"$9,851"
Brittney Sykes,"$200,000"
Shakira Austin,"$80,943"
Teaira McCowan,"$195,700"
Ezi Magbegor,"$155,000"
Natasha Cloud,"$200,000"
Courtney Williams,"$175,000"
Alyssa Thomas,"$218,000"
NaLyssa Smith,"$80,943"
Jordin Canada,"$185,000"
Tyasha Harris,"$97,100"
Gabby Williams,"$23,491"
Alanna Smith,"$150,000"
Elizabeth Williams,"$165,000"
Kamilla Cardoso,"$76,535"
Azurá Stevens,"$215,000"
Bridget Carleton,"$125,000"
Stefanie Dolson,"$185,000"
Tiffany Hayes,"$88,000"
Maddy Siegrist,"$75,792"
Cheyenne Parker-Tyus,"$200,000"
Aari McDonald,"$89,302"
Chelsea Gray,"$196,267"
Aerial Powers,"$155,000"
Karlie Samuelson,"$125,000"
Sophie Cunningham,"$189,500"
Lexie Brown,"$80,340"
Myisha Hines-Allen,"$180,200"
Aaliyah Edwards,"$73,439"
Kia Nurse,"$142,500"
Cameron Brink,"$76,535"
Shatori Walker-Kimbrough,"$97,850"
Monique Billings,"$35,237"
Monique Billings,"$5,304"
Monique Billings,"$19,702"
Rebecca Allen,"$160,000"
Julie Vanloo,"$64,154"
Dana Evans,"$78,469"
Jordan Horston,"$69,663"
Leonie Fiebich,"$67,249"
Michaela Onyenwere,"$85,690"
Lindsay Allen,"$90,000"
Isabelle Harrison,"$160,000"
Temi Fagbenle,"$76,535"
Courtney Vandersloot,"$194,670"
Emily Engstler,"$64,154"
Alysha Clark,"$110,000"
Rae Burrell,"$125,000"
